descricao_pedido,quantidade
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO CONFLITO DE COMPETÊNCIA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,2
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,4
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,1
AGRAVO INTERNO NO RECURSO ORDINARIO EM HABEAS CORPUS,20
AGRAVO INTERNO NO RECURSO ORDINÁRIO,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA AÇÃO RESCISORIA,22
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA CARTA ROGATÓRIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA DESISTÊNCIA NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA DESISTÊNCIA NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA EXCEÇÃO DE SUSPEIÇÃO,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,7
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA MEDIDA CAUTELAR,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO,5
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,6
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO RECURSO ESPECIAL,9
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,48
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA SUSPENSÃO DE SEGURANÇA,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA TUTELA CAUTELAR ANTECEDENTE,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NO AGRAVO EM RECURSO ESPECIAL,6
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA TUTELA PROVISÓRIA INCIDENTAL NO RECURSO ESPECIAL,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO DE INSTRUMENTO,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1868
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA EXECUÇÃO EM AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,104
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO MANDADO DE SEGURANÇA,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO PEDIDO DE TUTELA PROVISÓRIA,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,53
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,21
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,22
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,6
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NA MEDIDA CAUTELAR,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO CONFLITO DE COMPETÊNCIA,78
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,5
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO INCIDENTE DE ASSUNÇÃO DE COMPETÊNCIA NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO MANDADO DE SEGURANÇA,44
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE RECONSIDERAÇÃO NO HABEAS CORPUS,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE RECONSIDERAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE RETIRADA DE PAUTA NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE TUTELA PROVISÓRIA,7
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,12
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO PETIÇÃO DE ACORDO NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM HABEAS CORPUS,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,97
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1437
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ORDINÁRIO EM MS,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA AÇÃO RESCISÓRIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA PETIÇÃO NO MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,63
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA IMPUGNAÇÃO À EXECUÇÃO NA EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,6
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NA RECLAMAÇÃO,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RESP,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO CONFLITO DE COMPETÊNCIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO MANDADO DE SEGURANÇA,3
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE TUTELA PROVISÓRIA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,59
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM MS,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS À EXECUÇÃO EM MANDADO DE SEGURANÇA,1
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,47
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,72
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,4
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,2
AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS À EXECUÇÃO EM MANDADO DE SEGURANÇA,6
AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,557
AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,456
AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,14
AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,11
AGRAVO INTERNO NOS EMBARGOS À EXECUÇÃO EM MANDADO DE SEGURANÇA,12
AGRAVO REGIMENTAL NA ALIENAÇÃO DE BENS DO ACUSADO,1
AGRAVO REGIMENTAL NA AÇÃO PENAL,16
AGRAVO REGIMENTAL NA AÇÃO RESCISORIA,1
AGRAVO REGIMENTAL NA CARTA ROGATÓRIA,1
AGRAVO REGIMENTAL NA CAUTELAR INOMINADA CRIMINAL,5
AGRAVO REGIMENTAL NA EXCEÇÃO DE SUSPEIÇÃO,1
AGRAVO REGIMENTAL NA HOMOLOGAÇÃO DE DECISÃO ESTRANGEIRA,1
AGRAVO REGIMENTAL NA INTERPELAÇÃO JUDICIAL,1
AGRAVO REGIMENTAL NA MEDIDA CAUTELAR,2
AGRAVO REGIMENTAL NA MEDIDAS INVESTIGATIVAS SOBRE ORGANIZAÇÕES CRIMINOSAS,1
AGRAVO REGIMENTAL NA MEDIDAS PROTETIVAS DE URGÊNCIA - LEI MARIA DA PENHA,1
AGRAVO REGIMENTAL NA PETIÇÃO,92
AGRAVO REGIMENTAL NA PETIÇÃO NA AÇÃO PENAL,4
AGRAVO REGIMENTAL NA PETIÇÃO NA PETIÇÃO,1
AGRAVO REGIMENTAL NA PETIÇÃO NA RECLAMAÇÃO,2
AGRAVO REGIMENTAL NA PETIÇÃO NA TUTELA CAUTELAR ANTECEDENTE,1
AGRAVO REGIMENTAL NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,14
AGRAVO REGIMENTAL NA PETIÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NA PETIÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NA PETIÇÃO NO HABEAS CORPUS,19
AGRAVO REGIMENTAL NA PETIÇÃO NO RECURSO EM HABEAS CORPUS,4
AGRAVO REGIMENTAL NA PETIÇÃO NO RECURSO ESPECIAL,4
AGRAVO REGIMENTAL NA PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NA QUEIXA-CRIME,1
AGRAVO REGIMENTAL NA RECLAMAÇÃO,56
AGRAVO REGIMENTAL NA RESTITUIÇÃO DE COISAS APREENDIDAS,10
AGRAVO REGIMENTAL NA REVISÃO CRIMINAL,50
AGRAVO REGIMENTAL NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,3
AGRAVO REGIMENTAL NA SUSPENSÃO DE SEGURANÇA,3
AGRAVO REGIMENTAL NA TUTELA ANTECIPADA ANTECEDENTE,11
AGRAVO REGIMENTAL NA TUTELA CAUTELAR ANTECEDENTE,7
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA INCIDENTAL NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA INCIDENTAL NO RECURSO ESPECIAL,3
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA INCIDENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA INCIDENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA NO HABEAS CORPUS,5
AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
AGRAVO REGIMENTAL NO AGRAVO DE INSTRUMENTO,13
AGRAVO REGIMENTAL NO AGRAVO DE INSTRUMENTO NA PETIÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,3
AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,6069
AGRAVO REGIMENTAL NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DIVERGÊNCIA NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO EM RECURSO EXTRAORDINÁRIO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA AÇÃO PENAL,4
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA PETIÇÃO,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA RECLAMAÇÃO,2
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA REVISÃO CRIMINAL,2
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA SINDICÂNCIA,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA TUTELA ANTECIPADA ANTECEDENTE,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NA TUTELA PROVISÓRIA INCIDENTAL NO HABEAS CORPUS,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO DE INSTRUMENTO,1
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,359
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,9
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO HABEAS CORPUS,3
AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
