processo,tese,ementa,relator,data_publicacao,classe_processual
RE 1426271 RG,,"Ementa



    Constitucional e Tributário. ICMS. Operações interestaduais de bens e serviços a consumidor final não contribuinte. Diferencial de alíquota - DIFAL. EC 87/2015. Art. 3º da Lei Complementar 190/2022. Aplicabilidade dos princípios da anterioridade anual e nonagesimal. Art. 150, III, b e c, da Constituição Federal. Tema objeto de análise nas Ações Diretas de Inconstitucionalidade 7.066/DF, 7.070/DF e 7.078/CE. Questão constitucional. Potencial multiplicador da controvérsia. Repercussão geral reconhecida.



    1. Possui índole constitucional e repercussão geral a controvérsia relativa à incidência das regras da anterioridade anual e nonagesimal na cobrança do ICMS com diferencial de alíquota (DIFAL) decorrente de operações interestaduais envolvendo consumidores finais não contribuintes do imposto, após a entrada em vigor da Lei Complementar 190/2022.



    2. A presente discussão jurídica não se confunde com o objeto do RE 1.287.019/DF, Red. p/ acórdão Min. Dias Toffoli, tampouco com o objeto do RE 1.221.330/SP, Red. p/ acórdão Min. Alexandre de Moraes, ambos processados e julgados segundo a sistemática da repercussão geral.



    3. Repercussão geral reconhecida.",MINISTRA PRESIDENTE,2023-08-28,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 590260,"Os servidores que ingressaram no serviço público antes da EC 41/2003, mas que se aposentaram após a referida emenda, possuem direito à paridade remuneratória e à integralidade no cálculo de seus proventos, desde que observadas as regras de transição especificadas nos arts. 2º e 3º da EC 47/2005.","EMENTA: RECURSO EXTRAORDINÁRIO. ADMINISTRATIVO E PREVIDENCIÁRIO. 
   SERVIDOR PÚBLICO. GRATIFICAÇÃO POR ATIVIDADE DE MAGISTÉRIO, 
   INSTITUÍDA PELA LEI COMPLEMENTAR 977/2005, DO ESTADO DE SÃO 
   PAULO. DIREITO INTERTEMPORAL. PARIDADE REMUNERATÓRIA ENTRE 
   SERVIDORES ATIVOS E INATIVOS QUE INGRESSARAM NO SERVIÇO PÚBLICO 
   ANTES DA EC 41/2003 E SE APOSENTARAM APÓS A REFERIDA EMENDA. 
   POSSIBILIDADE. ARTS. 6º E 7º DA EC 41/2003, E ARTS. 2º E 3º DA EC 
   47/2005. REGRAS DE TRANSIÇÃO. REPERCUSSÃO GERAL RECONHECIDA. 
   RECURSO PARCIALMENTE PROVIDO.
I - Estende-se aos servidores 
   inativos a gratificação extensiva, em caráter genérico, a todos 
   os servidores em atividade, independentemente da natureza da 
   função exercida ou do local onde o serviço é prestado (art. 40, § 
   8º, da Constituição).
II - Os servidores que ingressaram no 
   serviço público antes da EC 41/2003, mas que se aposentaram após 
   a referida emenda, possuem direito à paridade remuneratória e à 
   integralidade no cálculo de seus proventos, desde que observadas 
   as regras de transição especificadas nos arts. 2º e 3º da EC 
   47/2005.
III - Recurso extraordinário parcialmente provido.",RICARDO LEWANDOWSKI,2009-10-23,RECURSO EXTRAORDINÁRIO
RE 590751,"O art. 78 do Ato das Disposições Constitucionais Transitórias possui a mesma mens legis que o art. 33 desse Ato, razão pela qual, uma vez calculado o precatório pelo valor real do débito, acrescido de juros legais, não há mais falar em incidência desses nas parcelas anuais, iguais e sucessivas em que é fracionado, desde que adimplidas a tempo e corrigidas monetariamente.","CONSTITUCIONAL. PRECATÓRIO. ART. 78 DO ADCT, INTRODUZIDO PELA EC 30/2000. INCIDÊNCIA DE JUROS COMPENSATÓRIOS E MORATÓRIOS NAS PARCELAS SUCESSIVAS. INADMISSIBILIDADE. ART 5º, XXIV E XXXVI, DA CONSTITUIÇÃO. OFENSA AO PRINCÍPIO DA JUSTA INDENIZAÇÃO. NECESSIDADE DE REEXAME DE PROVA. OFENSA REFLEXA. INCIDÊNCIA DA SÚMULA 279 DO STF. RE PARCIALMENTE PROVIDO. 
I - O art. 78 do ADC possui a mesma mens legis que o art. 33 deste Ato, razão pela qual, uma vez calculado o precatório pelo valor real do débito, acrescido de juros legais, não há mais falar em incidência destes nas parcelas anuais, iguais e sucessivas em que é fracionado, desde que adimplidas a tempo e corrigidas monetariamente. 
II – Não se mostra possível, em sede de recurso extraordinário, examinar a alegação de ofensa ao princípio da justa indenização, abrigado no art. 5º, XXIV, da Constituição Federal, diante do que dispõe a Súmula 279 do STF. 
III - A discussão acerca dos limites objetivos da coisa julgada, ademais, constitui matéria de legislação ordinária, que não dá ensejo à abertura da via extraordinária. 
IV - Recurso extraordinário parcialmente provido.",RICARDO LEWANDOWSKI,2011-04-04,RECURSO EXTRAORDINÁRIO
ARE 1249095 RG,,"EMENTA: CONSTITUCIONAL. PRESENÇA DE SÍMBOLOS RELIGIOSOS EM PRÉDIOS PÚBLICOS. ALEGAÇÃO DE AFRONTA À GARANTIA DO ESTADO LAICO. AÇÃO CIVIL PÚBLICA AJUIZADA PELO MINISTÉRIO PÚBLICO FEDERAL. RECURSO EXTRAORDINÁRIO. EXISTÊNCIA DE QUESTÃO CONSTITUCIONAL E DE REPERCUSSÃO GERAL JURÍDICA E SOCIAL RECONHECIDAS.



    I - A causa extrapola os interesses das partes envolvidas, haja vista que a questão central dos autos (permanência de símbolos religiosos em órgãos públicos federais e laicidade do Estado) alcança todos os órgãos e entidades da Administração Pública da União, Estados e Municípios.



    II - Relevância da causa do ponto de vista jurídico, uma vez que seu deslinde permitirá definir a exata extensão dos dispositivos constitucionais tidos por violados. Do mesmo modo, há evidente repercussão geral do tema sob a ótica social, considerados os aspectos religiosos e socioculturais envoltos no debate.



    III – Existência de questão constitucional e de repercussão geral reconhecidas.",RICARDO LEWANDOWSKI,2020-10-27,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
ARE 728188,"A partir das eleições de 2014, inclusive, o Ministério Público Eleitoral tem legitimidade para recorrer da decisão que julga o pedido de registro de candidatura, ainda que não tenha apresentado impugnação.","Ementa: RECURSO EXTRORDINÁRIO. MATÉRIA ELEITORAL. LEGITIMIDADE DO MINISTÉRIO PÚBLICO PARA RECORRER DE DECISÃO QUE DEFERE REGISTRO DE CANDIDATURA, AINDA QUE NÃO HAJA APRESENTADO IMPUGNAÇÃO AO PEDIDO INICIAL. SEGURANÇA JURÍDICA. RECURSO A QUE SE NEGA PROVIMENTO. REPERCUSSÃO GERAL. FIXAÇÃO DA TESE A PARTIR DAS ELEIÇÕES DE 2014, INCLUSIVE.



    I - O Ministério Público Eleitoral possui legitimidade para recorrer de decisão que julga o pedido de registro de candidatura, mesmo que não haja apresentado impugnação anterior. 



    II – Entendimento que deflui diretamente do disposto no art. 127 da Constituição Federal.



    III – Recurso extraordinário a que se nega provimento por razões de segurança jurídica.



    IV – Fixação da tese com repercussão geral a fim de assentar que a partir das eleições de 2014, inclusive, o Ministério Público Eleitoral tem legitimidade para recorrer da decisão que julga o pedido de registro de candidatura, ainda que não tenha apresentado impugnação.",RICARDO LEWANDOWSKI,2014-08-12,RECURSO EXTRAORDINÁRIO COM AGRAVO
ARE 928167 RG,"As questões da ocorrência da prescrição de obrigação de trato sucessivo e do direito à reposição salarial da Lei 1.329/2000 do Município de Arvorezinha/RS e sua eventual derrogação pela Lei 1.394/2001, do mesmo município, têm natureza infraconstitucional, e a elas se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.
","Ementa: PROCESSUAL CIVIL. RECURSO EXTRAORDINÁRIO COM AGRAVO. OBRIGAÇÃO DE TRATO SUCESSIVO. PRESCRIÇÃO. MUNICÍPIO DE ARVOREZINHA. LEI MUNICIPAL 1.329/00. REPOSIÇÕES SALARIAIS. MATÉRIAS INFRACONSTITUCIONAIS. AUSÊNCIA DE REPERCUSSÃO GERAL.



    1. Possuem natureza infraconstitucional as controvérsias fundadas, respectivamente, na interpretação do Decreto 20.910/32 e das Leis Municipais 1.329/00 e 1.394/01, acerca (a) da prescrição de obrigação reconhecida como de trato sucessivo e (b) do direito às reposições salariais concedidas pela Lei 1.329/00, do Município de Arvorezinha.



    2. É cabível a atribuição dos efeitos da declaração de ausência de repercussão geral quando não há matéria constitucional a ser apreciada ou quando eventual ofensa à Carta Magna ocorra de forma indireta ou reflexa (RE 584.608-RG, Rel. Min. ELLEN GRACIE, DJe de 13/3/2009). 



    3. Ausência de repercussão geral das questões suscitadas, nos termos do art. 543-A do CPC.",TEORI ZAVASCKI,2016-03-29,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
ARE 697312 RG,"A questão da responsabilidade civil por danos morais e materiais pela negativa de cobertura de atendimento por operadora de plano de saúde, tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE n. 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.	
","DIREITO DO CONSUMIDOR. EMPRESA OPERADORA DE PLANO DE SAÚDE. NEGATIVA DE COBERTURA PARA TRATAMENTO DE BENEFICIÁRIO. DANOS MORAIS E MATERIAIS. MATÉRIA DE QUE NÃO ENSEJA A ABERTURA DA VIA EXTRAORDINÁRIA. AUSÊNCIA DE REPERCUSSÃO GERAL. 



    Nos termos da jurisprudência do Supremo Tribunal Federal, o tema alusivo à responsabilidade por danos morais e materiais decorrentes de negativa de cobertura para tratamento de beneficiário, por parte de operadora de plano de saúde, não enseja a abertura da via extraordinária, dado que não prescinde do reexame da legislação infraconstitucional, de cláusulas contratuais e do conjunto fático-probatório dos autos (Súmulas 636, 454 e 279 do STF). 



    Não havendo, em rigor, questão constitucional a ser apreciada por esta Suprema Corte, falta ao caso “elemento de configuração da própria repercussão geral”, conforme salientou a ministra Ellen Gracie, no julgamento da Repercussão Geral no RE 584.608.",MINISTRO PRESIDENTE,2012-11-23,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 1040515 RG,,"EMENTA



    Direito Constitucional. Direito Eleitoral. Ação de Impugnação de Mandato Eletivo - AIME. Prova. Gravação ambiental. Realização por um dos interlocutores sem conhecimento do outro. Jurisprudência do Tribunal Superior Eleitoral no sentido da ilicitude dessa prova, sob o fundamento de que há a necessidade de proteção da privacidade e da honra. Gravação ambiental que somente seria legítima se utilizada em defesa do candidato, nunca para o acusar da prática de um ilícito eleitoral. Suportes jurídicos e fáticos diversos que afastariam a aplicação da tese de repercussão geral fixada, para as ações penais, no RE nº 583.937. A temática controvertida é apta a replicar-se em diversos processos, atingindo candidatos em todas as fases das eleições e até mesmo aqueles já eleitos. Implicações para a normalidade institucional, política e administrativa de todas as unidades da Federação. Repercussão geral reconhecida.",DIAS TOFFOLI,2017-12-11,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1266813 RG,"É infraconstitucional e depende de reexame de fatos e provas a controvérsia envolvendo o regime tributário instituído pela Lei nº 12.546/2011 relativamente à contribuição previdenciária incidente sobre a receita bruta substitutiva daquelas previstas nos incisos I e III do art. 22 da Lei 8.212/91.
","EMENTA



     Recurso extraordinário. Repercussão Geral. Contribuição Previdenciária. Artigo 195, § 13, da CF. Substituição da base de cálculo folha de salário pela receita ou faturamento. Regime instituído pela Lei nº 12.546/2011 (arts. 7º e 8º). Cláusula de reserva de Plenário. Ausência de afronta. Substituição de base de cálculo. Possibilidade. Efeitos no caso concreto. Proporcionalidade e razoabilidade. Prazo de opção. Afronta reflexa. Reexame de fatos e provas. Súmula 279/STF. Questão infraconstitucional. Ausência de repercussão geral. Recurso extraordinário a que se nega seguimento. Firmada a seguinte tese de repercussão geral: É infraconstitucional e depende de reexame de fatos e provas a controvérsia envolvendo o regime tributário instituído pela Lei nº 12.546/2011 relativamente à contribuição previdenciária incidente sobre a receita bruta substitutiva daquelas previstas nos incisos I e III do art. 22 da Lei 8.212/91.",DIAS TOFFOLI,2021-02-26,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 990115 RG,,"Ementa: CONSTITUCIONAL. TRIBUTÁRIO. ICMS. BASE DE CÁLCULO. INCLUSÃO DO VALOR DA SUBVENÇÃO ECONÔMICA PREVISTA NA LEI 10.604/2002. ENERGIA ELÉTRICA. RELEVÂNCIA JURÍDICA, ECONÔMICA E SOCIAL. MULTIPLICIDADE DE AÇÕES. QUESTÃO CONSTITUCIONAL E REPERCUSSÃO GERAL RECONHECIDAS.



    I – Análise da constitucionalidade da inclusão do valor da subvenção econômica da Lei 10.604/2002 na base de cálculo do ICMS incidente sobre energia elétrica.



    II - A definição sobre a constitucionalidade da referida inclusão da subvenção econômica na base de cálculo do ICMS norteará o julgamento de inúmeros processos similares a este, que tramitam neste e nos demais tribunais brasileiros.



    III - A solução do caso em exame poderá implicar relevante impacto no orçamento dos estados federados e dos contribuintes do ICMS.



    IV - A subvenção econômica da Lei 10.604/2002 é destinada aos consumidores de energia elétrica de baixa renda.



    V – Questão constitucional e repercussão geral reconhecidas.",RICARDO LEWANDOWSKI,2020-11-26,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
ARE 963889 RG,"A questão do cabimento de mandado de segurança contra decisão judicial que examina embargos infringentes opostos em execução fiscal de pequeno valor tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.
","Ementa: PROCESSUAL CIVIL. RECURSO EXTRAORDINÁRIO COM AGRAVO. EXECUÇÃO DE VALOR IGUAL OU INFERIOR A 50 OBRIGAÇÕES REAJUSTÁVEIS DO TESOURO NACIONAL (ORTN). DECISÃO QUE JULGA EMBARGOS INFRINGENTES (ART. 34 DA LEI 6.830/1980). CABIMENTO DE MANDADO DE SEGURANÇA. MATÉRIA INFRACONSTITUCIONAL. AUSÊNCIA DE REPERCUSSÃO GERAL.



    1. É de natureza infraconstitucional a controvérsia relativa ao cabimento de mandado de segurança contra decisão que julga embargos infringentes opostos em execução fiscal de pequeno valor, fundada na interpretação da Lei 6.830/1980.



    2. É cabível a atribuição dos efeitos da declaração de ausência de repercussão geral quando não há matéria constitucional a ser apreciada ou quando eventual ofensa à Carta Magna ocorra de forma indireta ou reflexa (RE 584.608-RG, Rel. Min. ELLEN GRACIE, DJe de 13/3/2009). 



    3. Ausência de repercussão geral da questão suscitada, nos termos do art. 1.035 do CPC/2015.",TEORI ZAVASCKI,2016-05-27,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 585535,"Não viola o art. 167, IV, da Constituição Federal lei estadual que, ao prever o aumento da alíquota do Imposto sobre Circulação de Mercadorias e Serviços – ICMS, impõe ao Chefe do Executivo a divulgação da aplicação dos recursos provenientes desse aumento.","RECURSO EXTRAORDINÁRIO. MATÉRIA CONSTITUCIONAL COM REPERCUSSÃO 
   GERAL RECONHECIDA. TRIBUTÁRIO. ICMS. MAJORAÇÃO DE ALÍQUOTA. 
   AUSÊNCIA DE VINCULAÇÃO DE RECEITA DE IMPOSTOS. INEXISTÊNCIA DE 
   VIOLAÇÃO AO ARTIGO 167, IV, DA CONSTITUIÇÃO FEDERAL. RECURSO 
   EXTRAORDINÁRIO CONHECIDO E IMPROVIDO.

1. 	A Lei paulista 9.903,
   de 30.12.1997, apenas impôs a divulgação, pelo Chefe do 
   Executivo, do emprego dos recursos provenientes do aumento da 
   alíquota de 17 para 18%, previsto no mesmo diploma.
2. 	A 
   proibição de vinculação de receita de impostos prevista no art. 
   167, IV, da Constituição Federal, impede a fixação de uma prévia 
   destinação desses recursos, o que não se verificou no presente 
   caso.
3. 	Recurso extraordinário conhecido e improvido.",ELLEN GRACIE,2010-05-21,RECURSO EXTRAORDINÁRIO
AI 791292 QO-RG,"O art. 93, IX, da Constituição Federal exige que o acórdão ou decisão sejam fundamentados, ainda que sucintamente, sem determinar, contudo, o exame pormenorizado de cada uma das alegações ou provas.","Questão de ordem. Agravo de Instrumento. Conversão em recurso extraordinário (CPC, art. 544, §§ 3° e 4°). 2. Alegação de ofensa aos incisos XXXV e LX do art. 5º e ao inciso IX do art. 93 da Constituição Federal. Inocorrência. 3. O art. 93, IX, da Constituição Federal exige que o acórdão ou decisão sejam fundamentados, ainda que sucintamente, sem determinar, contudo, o exame pormenorizado de cada uma das alegações ou provas, nem que sejam corretos os fundamentos da decisão. 4. Questão de ordem acolhida para reconhecer a repercussão geral, reafirmar a jurisprudência do Tribunal, negar provimento ao recurso e autorizar a adoção dos procedimentos relacionados à repercussão geral.",GILMAR MENDES,2010-08-13,REPERCUSSÃO GERAL NA QUESTÃO DE ORDEM NO AGRAVO DE INSTRUMENTO
ARE 685053 RG,"A questão do direito ao recebimento das vantagens pecuniárias ""Gratificação de Atividade"" e ""Gratificação de Habilitação"" pelos Policiais Militares da Bahia, tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE n. 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.	
","ADMINISTRATIVO. POLICIAIS MILITARES DO ESTADO DA BAHIA. PERCEPÇÃO DA GRATIFICAÇÃO DE ATIVIDADE E DA GRATIFICAÇÃO DE HABILITAÇÃO POLICIAL MILITAR. QUESTÃO CIRCUNSCRITA AO ÂMBITO INFRACONSTITUCIONAL. AUSÊNCIA DE REPERCUSSÃO GERAL.



    Nos termos da jurisprudência do Supremo Tribunal Federal, o tema alusivo à percepção da Gratificação de Atividade e da Gratificação de Habilitação pelos Policiais Militares do Estado da Bahia não enseja a abertura da via extraordinária, dado que não prescinde do reexame da legislação infraconstitucional. 



    Não havendo, em rigor, questão constitucional a ser apreciada por esta Suprema Corte, falta ao caso “elemento de configuração da própria repercussão geral”, conforme salientou a ministra Ellen Gracie, no julgamento da Repercussão Geral no RE 584.608.",MINISTRO PRESIDENTE,2013-05-08,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 597389 QO-RG,"A revisão de pensão por morte e demais benefícios, constituídos antes da entrada em vigor da Lei 9.032/1995, não pode ser realizada com base em novo coeficiente de cálculo estabelecido no referido diploma legal.","EMENTA: Questão de ordem. Recurso extraordinário. 2. Previdência Social. Revisão de benefício previdenciário. Pensão por morte. 3. Lei nº 9.032, de 1995. Benefícios concedidos antes de sua vigência. Inaplicabilidade. 4. Aplicação retroativa. Ausência de autorização legal. 5. Cláusula indicativa de fonte de custeio correspondente à majoração do benefício previdenciário. Ausência. 6. Jurisprudência pacificada na Corte. Regime da repercussão geral. Aplicabilidade. 7. Questão de ordem acolhida para reafirmar a jurisprudência do Tribunal e determinar a devolução aos tribunais de origem dos recursos extraordinários e agravos de instrumento que versem sobre o mesmo tema, para adoção do procedimento legal. 8. Recurso extraordinário a que se dá provimento.",MINISTRO PRESIDENTE,2009-08-21,REPERCUSSÃO GERAL NA QUESTÃO DE ORDEM NO RECURSO EXTRAORDINÁRIO
ARE 954858 RG,,"RECURSO EXTRAORDINÁRIO COM AGRAVO. REPERCUSSÃO GERAL. DIREITOS HUMANOS. DIREITO INTERNACIONAL. ESTADO SOBERANO ESTRANGEIRO. IMUNIDADE DE JURISDIÇÃO. PROCESSO DE CONHECIMENTO. COMPETÊNCIA. ATOS DE IMPÉRIO. ATOS DE GESTÃO. DELITO CONTRA O DIREITO INTERNACIONAL DA PESSOA HUMANO. PERÍODO DE GUERRA. DIREITOS DE PERSONALIDADE. SUCESSORES DA VÍTIMA. INDENIZAÇÃO.



    1. O alcance da imunidade de jurisdição de Estado estrangeiro em relação a ato de império ofensivo ao direito internacional da pessoa humana é tema constitucional digno de submissão à sistemática da repercussão geral.



    2. A controvérsia consiste em definir a viabilidade de processamento e julgamento de lide que envolve Estado soberano estrangeiro por parte do Poder Judiciário brasileiro.



    3. Preliminar de repercussão geral reconhecida.",EDSON FACHIN,2017-05-24,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
RE 572052,"A Gratificação de Desempenho de Atividade de Seguridade Social e do Trabalho -GDASST deve ser estendida aos inativos nas mesmas condições em que concedida aos servidores em atividade, ou seja, no valor de 60 (sessenta) pontos, a partir do advento da Medida Provisória 198/2004, convertida na Lei 10.971/2004, que alterou a sua base de cálculo. Isso porque, embora de natureza pro labore faciendo, a falta de regulamentação das avaliações de desempenho transmudou a GDASST em uma gratificação de natureza genérica, extensível aos servidores inativos.","EMENTA: RECURSO EXTRAORDINÁRIO. GRATIFICAÇÃO DE DESEMPENHO DE
   ATIVIDADE DE SEGURIDADE SOCIAL E DO TRABALHO - GDASST, INSTITUÍDA
   PELA LEI 10.483/2002. EXTENSÃO. SERVIDORES INATIVOS.
   POSSIBILIDADE. RECURSO DESPROVIDO.
I - Gratificação de
   desempenho que deve ser estendida aos inativos no valor de 60
   (sessenta) pontos, a partir do advento da Medida Provisória
   198/2004, convertida na Lei 10.971/2004, que alterou a sua base
   de cálculo.
II - Embora de natureza pro labore faciendo, a falta
   de regulamentação das avaliações de desempenho, transmuda a
   GDASST em uma gratificação de natureza genérica, extensível aos
   servidores inativos.
III - Inocorrência, na espécie, de violação
   ao princípio da isonomia.
IV - Recurso extraordinário
   desprovido.",RICARDO LEWANDOWSKI,2009-04-17,RECURSO EXTRAORDINÁRIO
RE 960429,"Compete à Justiça Comum processar e julgar controvérsias relacionadas à fase pré-contratual de seleção e de admissão de pessoal e eventual nulidade do certame em face da Administração Pública, direta e indireta, nas hipóteses em que adotado o regime celetista de contratação de pessoas, salvo quando a sentença de mérito tiver sido proferida antes de 6 de junho de 2018, situação em que, até o trânsito em julgado e a sua execução, a competência continuará a ser da Justiça do Trabalho. Obs.: Redação da tese alterada no julgamento do RE 960429 ED-segundos, ED-terceiros, ED-quartos, ED-quintos, ED-sextos e ED-sétimos, realizado em 15/12/2020.","RECURSO EXTRAORDINÁRIO REPRESENTATIVO DA CONTROVÉRSIA. Tema 992. DIREITO DO TRABALHO. DIREITO ADMINISTRATIVO. DISCUSSÃO SOBRE COMPETÊNCIA. ART. 114, INCISO I, DA CF/88. FASE PRÉ-CONTRATUAL. 1. Inexistência de relação de trabalho na chamada fase pré-contratual a atrair a competência da Justiça do Trabalho. 2. Prevalência do caráter público. Concurso público como ato de natureza administrativa. 3. Fixação da tese: Compete à Justiça comum processar e julgar controvérsias relacionadas à fase pré-contratual de seleção e de admissão de pessoal e eventual nulidade do certame em face da Administração Pública, direta e indireta, nas hipóteses em que adotado o regime celetista de contratação de pessoal. Recurso extraordinário não provido.",GILMAR MENDES,2020-06-24,RECURSO EXTRAORDINÁRIO
RE 851108 RG,,"EMENTA



    RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. ITCMD. BENS LOCALIZADOS NO EXTERIOR. ARTIGO 155, § 1º, III, LETRAS A E B, DA CONSTITUIÇÃO FEDERAL. LEI COMPLEMENTAR. NORMAS GERAIS. COMPETÊNCIA PARA INSTITUIÇÃO. 



    É de se definir, nas hipóteses previstas no art. 155, § 1º, III, letras a e b, da Constituição, se, ante a omissão do legislador nacional em estabelecer as normas gerais pertinentes à competência para instituir imposto sobre transmissão causa mortis ou doação de quaisquer bens ou direitos (ITCMD), os Estados-membros podem fazer uso de sua competência legislativa plena com fulcro no art. 24, § 3º, da Constituição e no art. 34, § 3º, do ADCT.",DIAS TOFFOLI,2015-08-20,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 660814 RG,,"Ementa: CONSTITUCIONAL E PROCESSUAL PENAL. RECURSO EXTRAORDINÁRIO. SISTEMA PENAL ACUSATÓRIO. PROVIMENTO DA CORREGEDORIA GERAL DE JUSTIÇA QUE DETERMINA A TRAMITAÇÃO DIRETA DO INQUÉRITO POLICIAL ENTRE O MINISTÉRIO PÚBLICO E A POLÍCIA CIVIL. INTELIGÊNCIA DOS ARTIGOS 22, I; 128, § 5º; 129, i; E 144, IX; TODOS DA CONSTITUIÇÃO FEDERAL. REPERCUSSÃO GERAL RECONHECIDA. 



    1. Revela especial relevância, na forma do art. 102, § 3º, da Constituição, a questão acerca da possibilidade da tramitação direta do inquérito policial entre o Ministério Público e a Polícia Civil por Provimento da Corregedoria Geral de Justiça.



    2. Repercussão geral da matéria reconhecida, nos termos do art. 1.035 do CPC.",ALEXANDRE DE MORAES,2019-03-19,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1116949,"(1) Sem autorização judicial ou fora das hipóteses legais, é ilícita a prova obtida mediante abertura de carta, telegrama, pacote ou meio análogo, salvo se ocorrida em estabelecimento penitenciário, quando houver fundados indícios da prática de atividades ilícitas; (2) Em relação a abertura de encomenda postada nos Correios, a prova obtida somente será lícita quando houver fundados indícios da prática de atividade ilícita, formalizando-se as providências adotadas para fins de controle administrativo ou judicial.","Ementa: CONSTITUCIONAL E PENAL. RECURSO EXTRAORDINÁRIO COM REPERCUSSÃO GERAL. PROVA OBTIDA POR MEIO DE ABERTURA DE ENCOMENDA POSTADA NOS CORREIOS. DIREITO AO SIGILO DE CORRESPONDÊNCIA. INADMISSIBILIDADE. RESERVA DE LEI E DE JURISDIÇÃO. RECURSO EXTRAORDINÁRIO QUE SE JULGA PROCEDENTE.



    1. Além da reserva de jurisdição, é possível ao legislador definir as hipóteses fáticas em que a atuação das autoridades públicas não seriam equiparáveis à violação do sigilo a fim de assegurar o funcionamento regular dos correios.



    2. Tese fixada: “sem autorização judicial ou fora das hipóteses legais, é ilícita a prova obtida mediante abertura de carta, telegrama, pacote ou meio análogo.”



    3. Recurso extraordinário julgado procedente.",MARCO AURÉLIO,2020-10-02,RECURSO EXTRAORDINÁRIO
RE 614873 RG,,"UNIVERSIDADE PÚBLICA – RESERVA DE VAGAS –INCONSTITUCIONALIDADE DE LEI DECLARADA NA ORIGEM – REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral a controvérsia atinente à constitucionalidade da Lei estadual nº 2.894/2004, mediante a qual se reservaram 80% das vagas oferecidas em concursos vestibulares da Universidade do Estado do Amazonas – UEA aos candidatos egressos de escolas de ensino médio daquele Estado, desde que nelas tenham cursado os três anos obrigatórios, e os 20% restantes aos demais candidatos.",MARCO AURÉLIO,2011-09-29,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
ARE 690819 RG,"A questão da caracterização de excesso de execução pelo erro de cálculo nos processos em que se discute a cobrança dos expurgos inflacionários relativos aos planos econômicos tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.
","Ementa: RECURSO EXTRAORDINÁRIO COM AGRAVO. PROCESSUAL CIVIL. EMBARGOS À EXECUÇÃO. EXCESSO DE EXECUÇÃO DECORRENTE DE ERRO DE CÁLCULO. REEXAME FÁTICO-PROBATÓRIO. OFENSA INDIRETA AO TEXTO CONSTITUCIONAL. REPERCUSSÃO GERAL. INEXISTÊNCIA.



    I – A verificação de eventuais erros no cálculo apresentado para fins de liquidação demanda o reexame do conjunto fático-probatório e da legislação infraconstitucional, de modo que eventual ofensa à Constituição Federal seria, aqui, apenas indireta (Código de Processo Civil).



    II – Repercussão geral inexistente.",CEZAR PELUSO,2014-09-08,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
